close,datetime,high,low,open,symbol,volume
384,108.48,1561525200000,109.31,108.16,108.3,JPM,10324609
385,108.84,1561611600000,109.55,108.44,108.84,JPM,10906607
386,111.8,1561698000000,112.43,110.9,111.04,JPM,21634683
387,113.68,1561957200000,114.52,113.08,113.23,JPM,12762478
388,113.8,1562043600000,114.2,113.22,113.51,JPM,10182625
389,112.82,1562130000000,113.87,112.26,113.34,JPM,6849443
390,113.49,1562302800000,114.27,112.92,113.51,JPM,7929536
391,112.87,1562562000000,113.48,112.5,112.96,JPM,6917209
392,113.35,1562648400000,113.49,112.1503,112.28,JPM,8947322
393,113.02,1562734800000,113.83,112.74,113.37,JPM,9242253
394,114.1,1562821200000,114.355,113.12,113.37,JPM,11595170
395,115.3,1562907600000,115.35,113.93,114.13,JPM,10783395
396,113.9,1563166800000,115.57,113.53,115.54,JPM,12946597
397,115.12,1563253200000,115.5,112.92,113.48,JPM,16944998
398,113.99,1563339600000,114.94,113.73,114.43,JPM,13120924
399,114.67,1563426000000,115.07,113.55,113.93,JPM,9400654
400,113.54,1563512400000,115.12,113.4,114.89,JPM,10402772
401,114.27,1563771600000,114.45,112.77,112.91,JPM,9061487
402,116.36,1563858000000,116.45,114.82,114.88,JPM,12752167
403,116.83,1563944400000,116.88,115.52,115.58,JPM,10011034
404,115.71,1564030800000,117.24,115.315,116.89,JPM,10138368
405,116.22,1564117200000,116.51,115.53,115.77,JPM,12800364
406,115.85,1564376400000,117.18,115.79,116.46,JPM,8500370
407,115.59,1564462800000,116.08,114.76,115.19,JPM,7121146
408,116.0,1564549200000,116.18,114.86,116.1,JPM,13647968
409,112.94,1564635600000,116.8,112.595,115.33,JPM,15664530
410,112.93,1564722000000,113.43,111.4,112.4,JPM,11025527
411,109.57,1564981200000,110.98,108.265,110.79,JPM,15855328
412,110.43,1565067600000,110.5,108.34,110.05,JPM,10203487
413,108.03,1565154000000,108.28,105.94,108.0,JPM,17320865
414,109.86,1565240400000,110.08,108.72,109.05,JPM,10903331
415,109.74,1565326800000,110.445,108.29,109.35,JPM,9980834
416,107.68,1565586000000,108.5146,107.21,108.44,JPM,9389209
417,109.34,1565672400000,110.33,107.03,107.95,JPM,12236560
418,104.8,1565758800000,106.91,104.45,106.3,JPM,19491849
419,105.2,1565845200000,106.38,104.34,104.82,JPM,13365567
420,107.72,1565931600000,107.98,105.87,106.37,JPM,11830550
421,108.69,1566190800000,109.75,108.415,109.63,JPM,8265570
422,107.31,1566277200000,108.44,107.24,107.85,JPM,8376105
423,107.61,1566363600000,108.43,107.445,108.21,JPM,8189648
424,108.72,1566450000000,109.265,107.93,108.37,JPM,9343395
425,106.02,1566536400000,108.78,105.11,108.0,JPM,14764096
426,106.87,1566795600000,106.99,106.01,106.62,JPM,8211955
427,105.74,1566882000000,107.56,104.84,107.35,JPM,14335951
428,106.8,1566968400000,107.21,105.04,105.08,JPM,10593762
429,109.22,1567054800000,109.89,108.02,108.14,JPM,10002439
430,109.86,1567141200000,110.56,109.47,109.84,JPM,10170346
431,108.56,1567486800000,108.99,107.3167,108.98,JPM,9869174
432,109.87,1567573200000,110.22,108.56,109.45,JPM,6944055
433,112.37,1567659600000,113.72,111.2,111.25,JPM,13226615
